name,no_of_reviews,no_of_viewers,screenwriter,director,genres,tags,country,episodes,year,duration,rating,no_of_rating,rank,popularity,content_rating,where_to_watch,main_role,support_role,no_of_extracted_reviews,reviewer_location_info,reviewer_gender_info
goblin,464,198650,Kim Eun Sook,Lee Eung Bok,"Comedy, Romance, Fantasy, Melodrama","Supernatural, Older Man/Younger Woman, Interspecies Romance, Dokkaebi, Fate, Bromance, Death, Heartfelt, Tearjerker, Soulmates",South Korea,16,2016,01:22:00,8.8,105311,121,1,15+ - Teens 15 or older,"Apple TV Subscription (sub), Prime Video Purchase (sub), Viki Subscription (sub), Netflix Subscription (sub)","Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae","Lee El, Kim Sung Kyum, Kim Byung Chul, Jo  Woo Jin, Yeom Hye Ran, Jung Young Ki, Choi Ri, Choi Woong, Jo Hyun Shik, Kim Ki Doo, Kim Chang Hwan, Yoon Da Young, Go Bo Gyeol, Park Kyung Hye, Kim Min Young, Han Seo Jin, Jung Ji Hoon, Kim Seo Jung, Kim Baek Ri, Byun Joo Hyun, Kim Nan Hee",422,"Counter({'': 238, 'usa': 14, 'united states': 10, 'india': 10, 'portugal': 5, 'singapore': 4, 'australia': 4, 'europe': 4, 'germany': 4, 'philippines': 4, 'france': 3, 'england': 3, 'sweden': 2, 'bangladesh': 2, 'vietnam': 2, 'los angeles, ca': 2, 'mumbai, india': 2, 'united kingdom': 2, 'london': 2, 'budapest': 1, 'ipoh mali': 1, 'seattle': 1, ""turns out, there's really no place like home"": 1, 'exploring dramaland': 1, 'soooobin center!!!': 1, 'bosnia and herzegovina': 1, 'canada': 1, 'space': 1, 'texas usa': 1, 'sheffield, uk': 1, 'seattle (usa)': 1, 'northern new england': 1, 'poland': 1, 'alexandria - egypt': 1, 'munich': 1, 'world of pan': 1, 'brazil': 1, 'georgia, usa': 1, 'on the net': 1, 'cali babe': 1, 'petaling': 1, 'essex': 1, 'visakhapatnam , andhra pradesh , india .': 1, 'mexico': 1, 'mcchicken heaven': 1, 'midwest, usa': 1, 'montreal': 1, 'washington, dc': 1, 'secret forest': 1, 'czech republic': 1, 'new zealand': 1, 'america': 1, 'românia': 1, 'planet pluto': 1, 'uk midlands': 1, 'mainland china': 1, 'greece': 1, 'over the rainbow': 1, 'florida': 1, 'away from toxic people, usa': 1, 'west virginia, usa': 1, 'norway': 1, 'hanging with jeff': 1, 'brasil': 1, 'como lake, italy': 1, 'dhaka, bangladesh': 1, 'aut': 1, 'in my peachy dreams': 1, 'canberra, australia': 1, 'scotland': 1, 'asti, italy': 1, 'my bedroom': 1, 'us': 1, ""jackson wang's hair salon"": 1, 'world --> europe': 1, 'bahrain': 1, 'cloud drama': 1, 'detroit, michigan, united states': 1, 'new york state but not the city.': 1, 'seoul': 1, 'lost in kdrama world ♥️?': 1, 'i wish it was in korea': 1, 'bingin all 52 ep of sen cal kapimi': 1, 'new york': 1, '神隠し': 1, 'uk': 1, 'algeria': 1, 'czechia': 1, 'in front of my computer.': 1, 'dans un dramas près de ji chang wook': 1, 'egypt': 1, 'london, england': 1, 'incheon, south korea': 1, 'somewhere in africa': 1, 'a bushland outlook in the sydney region': 1, 'birmingham': 1, 'making people mad with opinions': 1, 'antwerpen & katowice': 1, 'switzerland': 1, 'turkey': 1, 'gusulan sect': 1, 'somewhere out of nowhere': 1, 'netherlands': 1, 'south africa': 1, 'lost in goryeo': 1, 'italy': 1, 'indonesia': 1, 'anti-universe': 1, 'earth': 1, 'santiago - chile': 1, 'russia/italy': 1, '♕ i am your majesty 전하 ♕': 1, 'you are the cause of my euphoria': 1, 'peshawar pakistan': 1, 'not in korea': 1, 'pr': 1, 'from spain': 1, 'tokyo': 1, 'asian': 1, 'athens,greece': 1, 'las vegas, usa': 1, 'romania': 1, 'out and about': 1})","Counter({'female': 318, '': 59, 'male': 44})"
strong woman do bong soon,345,184710,Baek Mi Kyung,Lee Hyung Min,"Action, Comedy, Romance, Supernatural","Strong Female Lead, Female Lead Action Scenes, Superhuman Strength, Love Triangle, Nice Male Lead, Rich Man/Poor Woman, Father-Daughter Relationship, Gang, Boss-Employee Relationship, Rich Male Lead",South Korea,16,2017,01:07:00,8.7,106102,227,2,15+ - Teens 15 or older,"Disney+ Hotstar Subscription (sub), Apple TV Free, Prime Video Subscription (sub), iQIYI Free (sub), Viki Subscription (sub), WeTV Free (sub), Netflix Subscription (sub)","Park Bo Young, Park Hyung Sik, Kim Ji Soo","Jun Suk Ho, Shim Hye Jin, Yoo Jae Myung, Ahn Woo Yeon, Kim Min Kyo, Yoon Ye Hee, Kim Won Hae, Im Won Hee, Kim Ki Moo, Seol In Ah, Choi Won Myung, Jang Mi Kwan, Lee Do Hyun, Park Bo Mi, Kim Young Choon, Baek Soo Ryun, Yoon Young Joo, Kim Sung Bum, Kim Won Seok, Shim Hoon Gi, Choi Young Shin, Lee Ho Chul, Min Ji Hyun, Kim Won Joon, Jun Byung Chul, Lee Se Wook, Choi Seung Hoon, Choi Moo In, Choi Hyung, Choi Hyun Seo, Ahn Chang Hwan, Yoo In Soo, Kim Soo Yeon, Kim Won Suk, Yang Joo Ho, Oh Soon Tae, Heo Jung Guk",317,"Counter({'': 197, 'united states': 10, 'usa': 6, 'india': 4, 'canada': 2, 'brazil': 2, 'france': 2, 'portugal': 2, 'florida': 2, 'europe': 2, 'uk': 2, 'australia': 2, 'us': 2, 'northern virginia, u.s.a.': 1, 'two different places at once': 1, 'exploring dramaland': 1, 'seoul, south korea': 1, 'florida usa': 1, 'space': 1, 'my comfy couch with double head pillow': 1, 'new york': 1, 'texas usa': 1, 'worldwide': 1, 'tunisia': 1, 'orange county': 1, 'nyc!': 1, 'north america': 1, 'bangladesh': 1, 'dallas, tx': 1, 'seattle (usa)': 1, 'northern new england': 1, 'united states, maryland': 1, 'munich': 1, 'gold dimension': 1, 'somewhere secret': 1, 'india/united states': 1, 'south africa': 1, 'manila': 1, 'italy': 1, 'south korea/finland': 1, 'planet pluto': 1, 'malaysia': 1, 'poland': 1, 'magic shop': 1, 'mainland china': 1, 'the couch downstairs': 1, '🇫🇷': 1, 'albuquerque, new mexico, usa': 1, 'pakistan': 1, 'west virginia, usa': 1, 'norway': 1, 'argentina': 1, 'brasil': 1, 'east coast, us': 1, 'the netherlands': 1, 'home': 1, 'dhaka, bangladesh': 1, 'kosovo': 1, 'serbia': 1, 'middle of the usa': 1, 'burgas': 1, 'philippines': 1, 'singapore': 1, 'earth': 1, 'virginia': 1, 'el paso, texas': 1, 'bingin all 52 ep of sen cal kapimi': 1, 'on a beach 🏖': 1, 'arkansas': 1, 'chennai': 1, 'sarawak, malaysia': 1, 'p fkn r': 1, 'egypt': 1, 'mexico': 1, 'georgia, usa': 1, 'toronto': 1, 'lothlórien': 1, 'somewhere in africa': 1, 'guatemala': 1, 'czech republic': 1, 'indonesia': 1, 'texas': 1, 'las vegas, nv': 1, 'jamaica': 1, ""takano akira's embrace"": 1, 'bangtan universe': 1, 'camp half-blood, diagon alley, panem.': 1, 'your heart bby': 1, 'san jose, ca': 1, 'you are the cause of my euphoria': 1, 'asura kingdom': 1, 'bts universe': 1, 'the pages of a fairytale': 1, 'san diego ca': 1, 'out and about': 1})","Counter({'female': 228, '': 57, 'male': 32})"
weightlifting fairy kim bok joo,267,167702,"Yang Hee Seung,  Kim Soo Jin","Oh Hyun Jong,  Nam Sung Woo","Comedy, Romance, Life, Sports","Friends To Lovers, Weightlifting, Strong Female Lead, Healing, First Love, Bantering Relationship, Male Chases Female First, Swimming, Slow Burn Romance, Sismance",South Korea,16,2016,01:00:00,8.8,93915,137,3,15+ - Teens 15 or older,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free (sub), Prime Video Purchase (sub), iQIYI Free (sub), Viki Subscription (sub)","Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin","Cho Hye Jung, Lee Joo Young, Ji  Il Joo, Yoo Joon Hong, Jang Young Nam, Yoo Da In, Jo Soo Hyang, Kang Ki Young, Moon  Ji Yoon, Ray Yang, Oh Eui Shik, Ahn Kil Kang, Choi Moo Sung, Jung In Ki, Lee Jung Eun, Park Won Sang, Choi Woong, Z Hera, Kim Chae Eun, Kim Ye Jun, Kim Hyun Jung, Jung Eugene, Jung Hyun Seok, Lee Ji Hoon, Lee Ye Bin, Lee Ji Woo",246,"Counter({'': 134, 'usa': 9, 'india': 4, 'philippines': 4, 'germany': 3, 'portugal': 3, 'canada': 3, 'brazil': 3, 'united states': 3, 'italy': 2, 'paris': 2, 'australia': 2, 'uk': 2, 'nova prata, rs - brasil': 1, 'somewhere in africa': 1, 'bhutan': 1, 'bath, uk': 1, 'two different places at once': 1, 'manila': 1, 'milan': 1, 'perú': 1, 'exploring dramaland': 1, 'soooobin center!!!': 1, 'seoul, south korea': 1, 'shinee world': 1, 'florida usa': 1, 'sweden': 1, 'europe': 1, 'phoenix az usa': 1, 'internet.': 1, 'baton rouge, louisiana': 1, 'joon’s dimple': 1, 'big tooth land': 1, 'u.s.a.': 1, 'u.s(east coast)': 1, 'vienna': 1, 'world --> europe': 1, 'indonesia': 1, 'southern california': 1, 'united states of america': 1, 'moon kingdom': 1, 'netherlands': 1, 'south korea': 1, 'nyc!': 1, 'over the rainbow': 1, 'ph': 1, 'caratland': 1, 'puerto rico': 1, 'the void': 1, 'united kingdom': 1, 'the couch downstairs': 1, 'florida': 1, ""ji chang wook's bedroom ☆彡"": 1, 'san jose, ca': 1, 'argentina': 1, 'you are the cause of my euphoria': 1, 'u.s.': 1, 'bingin all 52 ep of sen cal kapimi': 1, 'france': 1, 'suburb north of los angeles': 1, 'kent, uk': 1, 'pluto': 1, 'belgium': 1, 'new york': 1, '♥️': 1, 'not in korea': 1, 'portland, oregon, usa': 1, 'england, uk': 1, 'belgrade, serbia': 1, 'nani?': 1, 'the caribbeans': 1, 'denmark': 1, 'the pages of a fairytale': 1, 'world of pan': 1, 'somewhere over the rainbow': 1, 'zombieland / living with daryl. lol': 1, 'us': 1, 'wonderland': 1, 'poland': 1, 'singapore': 1, 'buffalo, ny': 1, 'mumbai, india': 1, 'out and about': 1, 'serbia': 1, 'lothlórien': 1})","Counter({'female': 176, '': 44, 'male': 26})"
descendants of the sun,270,167287,"Kim Eun Sook,  Kim Won Seok","Baek Sang Hoon,  Lee Eung Bok","Action, Comedy, Romance, Melodrama","Hardworking Male Lead, Multiple Couples, Bromance, Military, Friendship, Gun Violence, Calm Male Lead, Medical, Hardworking Female Lead, Filmed Abroad",South Korea,16,2016,01:00:00,8.6,87647,289,4,15+ - Teens 15 or older,"iflix Free, Apple TV Free (sub), Hulu Subscription (sub), iQIYI Free (sub), Viki Free (sub), WeTV Free (sub), Netflix Subscription (sub)","Song Joong Ki, Song Hye Kyo, Jin Goo, Kim Ji Won","Lee Seung Joon, Seo Jung Yeon, Park Hwan Hee, Onew, Jo Woo Ri, Hyun Jyu Ni, Tae In Ho, Park Ah In, Kwak Min Seok, Kang Shin Il, Kim Byung Chul, Park Hoon, Ahn Bo Hyun, Choi Woong, Kim Min Seok, Jasper Cho, Jeon Soo Jin, David McInnis, Jo Jae Yoon, Lee Yi Kyung, Jung Young Hoon, Park Pal Young, Go Man Kyu, Jung Sung Hoon",252,"Counter({'': 143, 'india': 8, 'usa': 6, 'united states': 5, 'philippines': 5, 'florida': 3, 'germany': 3, 'italy': 2, 'manila, philippines': 2, 'indonesia': 2, 'bangladesh': 2, 'singapore': 2, 'dramaland': 2, 'france': 2, 'dubai': 1, 'cambodia': 1, 'england': 1, 'making people mad with opinions': 1, 'cyprus': 1, 'canberra, australia': 1, ""doesn't know whether to laugh or cry"": 1, 'europe': 1, 'new york city, u.s.': 1, 'drama universe': 1, 'earth': 1, 'a certain...magic shop?': 1, 'florida usa': 1, 'são paulo - brasil': 1, 'dubai/ uae': 1, 'id': 1, 'malaysia': 1, 'world --> europe': 1, 'australia': 1, 'southern california': 1, 'dhaka,bangladesh': 1, 'hungary': 1, 'seoul': 1, 'somewhere between the monsoon rain and you.': 1, 'probably within reach of a coffee': 1, 'mainland china': 1, 'in the shining galaxy of a.n.jell, bangtan sonyeondan & cnblue': 1, 'chicago, il, us': 1, 'brooklyn, ny': 1, '독일 ~ where the waves gush against your windows': 1, 'nyc!': 1, 'brooklyn, new york': 1, 'oakland': 1, 'new delhi': 1, 'spain': 1, 'us': 1, 'indiana, usa': 1, 'dubai, uae': 1, 'poland': 1, 'dreamland': 1, 'albuquerque, new mexico, usa': 1, 'you are the cause of my euphoria': 1, 'colorado': 1, 'mexico': 1, 'bingin all 52 ep of sen cal kapimi': 1, 'mumbai india': 1, 'stockholm': 1, 'salvador, brazil': 1, 'a place called here~': 1, 'florida, usa': 1, 'htx!': 1, 'bogotá': 1, 'pr': 1, 'us/poland': 1, 'finland': 1, 'world of pan': 1, 'anime&drama obsession': 1, 'in a small, cold, dark room with my laptop and a bag of chips watching netflix': 1, 'if not at work, at home watching dramas': 1, 'santa ana, california, usa': 1, 'georgia': 1, 'london, england': 1, 'canada': 1, 'isengard': 1, 'jakarta, indonesia': 1})","Counter({'female': 193, '': 35, 'male': 24})"
w,285,159860,Song Jae Jung,Jeong Dae Yun,"Thriller, Comedy, Romance, Fantasy","Parallel Dimension, Gun Violence, Crossworlds Traveler, Steamy Kiss, Rich Male Lead, Lovers Separated, Attempted Murder, Murder, Fight, Revenge",South Korea,16,2016,01:00:00,8.5,85812,487,5,15+ - Teens 15 or older,"WeTV Free (sub), Netflix Subscription (sub), Apple TV Free, iflix Free (sub), Viki Free (sub)","Han Hyo Joo, Lee Jong Suk","Kim Eui Sung, Lee Tae Hwan, Jung Eugene, Lee Si Eon, Kang Ki Young, Heo Jung Do, Park Won Sang, Cha Kwang Soo, Lee Se Rang, Nam Ki Ae, Ryu Hye Rin, Park Sung Taek, Yang Hye Ji, Lee Chae Kyung",265,"Counter({'': 151, 'usa': 7, 'india': 6, 'philippines': 5, 'australia': 4, 'brazil': 3, 'united states': 3, 'italy': 2, 'netherlands': 2, 'us': 2, 'greece': 2, 'somewhere in africa': 1, 'czech republic': 1, 'visakhapatnam , andhra pradesh , india .': 1, 'making people mad with opinions': 1, 'canada': 1, 'i just wanders in a series.': 1, 'spain': 1, 'småland, sweden': 1, 'mexico': 1, 'secret forest': 1, 'uk': 1, 'exploring dramaland': 1, 'bhubaneswar, india': 1, 'bulgaria': 1, 'worldwide': 1, 'seoul, south korea': 1, 'a certain...magic shop?': 1, 'chittagong,bangladesh': 1, 'asia': 1, 'europe': 1, 'united kingdom': 1, 'i should be studying yet im reviewing dramas': 1, 'mauritius': 1, 'chennai': 1, 'mentally in a fictional world': 1, 'alabama': 1, 'england': 1, 'in your basement': 1, 'indonesia': 1, 'the blue orchid': 1, 'washington state usa': 1, 'tunisia': 1, 'mainland china': 1, 'chicago, il, us': 1, 'nyc!': 1, 'lmao literally where am i': 1, 'latvia': 1, 'italy/lombardia/bergamo': 1, 'over the rainbow': 1, 'thailand': 1, 'istanbul city': 1, 'singapore': 1, 'finland': 1, 'florida': 1, 'gallifrey': 1, 'in fucking beast mode': 1, 'lexington, ky, usa': 1, 'indiana, usa': 1, 'seattle (usa)': 1, 'drama land': 1, 'new zealand': 1, 'san jose, ca': 1, 'you are the cause of my euphoria': 1, 'colorado': 1, 'malaysia': 1, 'sweden': 1, 'bingin all 52 ep of sen cal kapimi': 1, 'stockholm': 1, 'new york': 1, 'mars': 1, 'tn, usa': 1, '神隠し': 1, 'america': 1, 'florida, usa': 1, 'hanging with jeff': 1, 'dramaland': 1, 'us/poland': 1, 'world of pan': 1, 'france': 1, 'norway': 1, 'on the net': 1, 'seodaemun-gu': 1, 'egypt': 1, 'portugal': 1, 'texas': 1, 'jakarta, indonesia': 1, 'toronto': 1, 'twenty steps away from the toilet and just around the corner from the stairs.': 1})","Counter({'female': 196, '': 48, 'male': 21})"
what's wrong with secretary kim,243,159470,"Baek Sun Woo,  Choi Bo Rim",Park Joon Hwa,"Business, Comedy, Romance","Boss-Employee Relationship, Rich Male Lead, Adapted From A Webtoon, Steamy Kiss, Male Chases Female First, Calm Female Lead, Smart Female Lead, Trauma, Phobia, Tragic Past",South Korea,16,2018,01:09:00,8.5,86969,477,6,15+ - Teens 15 or older,"Apple TV Free, Hulu Subscription (sub), iQIYI Free (sub), Viki Subscription (sub), WeTV Free (sub), Netflix Subscription (sub)","Park Min Young, Park Seo Joon","Lee Tae Hwan, Pyo Ye Jin, Kim Hye Ok, Kim Byung Ok, Kang Ki Young, Kang Hong Suk, Hwang Chan Sung, Kim Ye Won, Lee Yoo Joon, Hwang Bo Ra, Baek Eun Hye, Heo Soon Mi, Kim Jung Woon, Lee Jung Min, Moon Woo Jin, Kim Ji Yoo, Bae Gang Yoo",220,"Counter({'': 123, 'united states': 5, 'usa': 5, 'australia': 3, 'texas': 2, 'philippines': 2, 'uk': 2, 'brazil': 2, 'earth': 2, 'india': 2, 'somewhere in africa': 1, 'germany': 1, 'iceland': 1, 'italy': 1, 'romania': 1, 'la la land': 1, 'dublin, ireland': 1, 'czech republic': 1, 'antwerpen & katowice': 1, 'norway': 1, 'paris': 1, 'buenos aires': 1, 'mexico': 1, 'algeria_ algiers': 1, 'with kyungsoo ⦿♡⦿': 1, 'trying to get back into dramas': 1, ""jackson wang's hair salon"": 1, 'albania, europe': 1, 'moon light balcony': 1, 'malaysia': 1, 'united kingdom': 1, 'relaxing on my bed': 1, 'cloud drama': 1, 'são paulo, brazil': 1, 'new york state but not the city.': 1, 'the blue orchid': 1, 'magic shop': 1, 'mainland china': 1, '독일 ~ where the waves gush against your windows': 1, 'nyc!': 1, 'slovakia': 1, 'spain': 1, 'nyc': 1, 'the couch downstairs': 1, 'kolkata': 1, 'cangyan sea': 1, 'los angeles': 1, 'guam': 1, 'netherlands': 1, 'indiana, usa': 1, 'dallas, tx': 1, 'thailand': 1, 'newcastle upon tyne, united kingdom': 1, 'northern new england': 1, 'asia': 1, 'dramaland': 1, 'san jose, ca': 1, 'you are the cause of my euphoria': 1, 'assen, nl': 1, 'eu': 1, 'colorado': 1, 'pakistan': 1, 'suburb north of los angeles': 1, 'peshawar pakistan': 1, 'bangladesh': 1, 'mars': 1, 'not in korea': 1, ""inside bts's heart"": 1, 'cambridge, uk': 1, 'boston': 1, 'us/poland': 1, 'munich': 1, 'tokyo': 1, 'bucharest, romania': 1, 'where hell lies': 1, 'portugal': 1, 'como lake, italy': 1, 'california': 1, 'samsara': 1, 'indonesia': 1, 'brasil': 1, 'london': 1})","Counter({'female': 153, '': 45, 'male': 22})"
it's okay to not be okay,558,156581,Jo Yong,"Park Shin Woo,  Jung Dong Yoon","Psychological, Comedy, Romance, Drama","Possessive Female Lead, Independent Female Lead, Successful Female Lead, Melodrama, Healing, Selfless Male Lead, Badass Female Lead, Psychiatry, Childhood Connection, Trauma",South Korea,16,2020,01:15:00,8.9,87953,61,7,15+ - Teens 15 or older,Netflix Subscription (sub),"Kim Soo Hyun, Seo Yea Ji, Oh Jung Se","Park Gyu Young, Jang Young Nam, Kim Chang Wan, Kang Gi Doong, Kim Joo Heon, Kim  Mi Kyung, Park Jin Joo, Lee Eol, Jang Gyu Ri, Kim Gi Cheon, Jung Jae Kwang, Ji Hye Won, Choi Woo Sung, Seo Joon, Ha Kyung Min, Kang Ji Eun, Joo In Young, Kim Soo In, Moon Woo Jin, Lee Kyu Sung, Choi Hee Jin, Jung Ji Hyun, Cheon So Ra, Go Han Min, Yu Yeon Seok",507,"Counter({'': 333, 'usa': 9, 'canada': 6, 'india': 6, 'philippines': 6, 'united states': 6, 'california': 4, 'brazil': 4, 'united kingdom': 3, 'uk': 3, 'serbia': 2, 'germany': 2, 'dramaland': 2, 'chicago': 2, 'australia': 2, 'romania': 2, 'south africa': 2, 'europe': 2, 'singapore': 2, 'earth': 2, 'seattle': 1, 'philipines': 1, 'sparkle planet': 1, 'baltimore': 1, 'winden': 1, 'worldwide': 1, 'manila': 1, 'choco land': 1, 'my comfy couch with double head pillow': 1, 'texas usa': 1, 'somewhere in between the stars.....': 1, 'nyc!': 1, 'somewhere ♡': 1, 'north america': 1, 'fr': 1, 'sacramento, ca': 1, 'yeeeeet': 1, 'seattle (usa)': 1, '미국': 1, 'colorado': 1, 'somewhere in asia': 1, 'przemyśl, poland': 1, 'spain': 1, 'world of pan': 1, 'sri lanka': 1, 'sigtuna/stockholm/sweden': 1, 'toronto': 1, 'borderland': 1, 'middle earth <3': 1, 'poland': 1, 'on the same earth; under the same sky;': 1, 'new zealand': 1, 'cambodia': 1, 'trying to get back into dramas': 1, 'in the shire~': 1, 'mentally in a fictional world': 1, 'malaysia': 1, ""kinn's pool"": 1, 'icecream in the freezing cold': 1, 'somewhere where time is meaningless~': 1, '☁️': 1, 'your local canadian': 1, 'in my room watching dramas': 1, 'indiana, usa': 1, 'albuquerque, new mexico, usa': 1, 'u.s.': 1, 'susah tunisia': 1, 'the netherlands': 1, 'argentina': 1, 'manila, philippines': 1, 'blue ridge mountains': 1, 'portugal': 1, 'indonesia': 1, 'paris': 1, 'ph (currently busy with studies)': 1, 'forever obs defender lover and apologist': 1, 'planet earth': 1, 'hyderabad, india': 1, 'uaenaland': 1, 'brecht, belgium': 1, ""eric mun's heart"": 1, 'genovia': 1, 'mumbai, india': 1, 'dallas texas': 1, 'eu sou do brasil, assisto doramas desde 2017 e tenho muito amor por cada dorama ,❤️': 1, 'shinee world': 1, 'wanna be in yunmeng or gusu': 1, 'latvia': 1, 'london': 1, 'el paso, texas': 1, 'ray of sunshine': 1, 'magyarország': 1, 'new york': 1, '.............': 1, 'mexico': 1, 'dubai': 1, 'iran, rasht': 1, 'berne, switzerland': 1, '₍՞  ̳   ̫   ̳՞₎': 1, 'france': 1, '~dreamland~': 1, 'somewhere in africa': 1, 'turkey': 1, 'bulgaria': 1, 'odisha, india': 1, 'study table': 1, 'a certain...magic shop?': 1, '❤️exoplanet❤️': 1, 'brasil': 1, 'hogwarts school of  witchcraft and wizardy': 1, 'north pole': 1, 'in fucking beast mode': 1, 'you are the cause of my euphoria': 1, 'florida': 1, 'drama world': 1, 'in my head': 1, 'us': 1, 'slovakia': 1, ""inside bts's heart"": 1, 'india??': 1, 'florida, usa': 1, 'deep inside the world of cencha': 1, 'near the galaxy': 1, 'buffalo, ny': 1, 'lisbon @ portugal': 1, 'orlando, fl': 1, 'in between what ifs and maybes': 1})","Counter({'female': 371, '': 88, 'male': 48})"
crash landing on you,413,151890,Park Ji Eun,Lee Jeong Hyo,"Military, Comedy, Romance, Political","North And South Korea, Strong Male Lead, Rich Female Lead, Fate, Nice Male Lead, Calm Male Lead, Strong Female Lead, Friendship, Smart Female Lead, Soulmates",South Korea,16,2019,01:25:00,9,87309,50,8,15+ - Teens 15 or older,Netflix Subscription (sub),"Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun","Yang Kyung Won, Lee Shin Young, Yoo Soo Bin, Tang Jun Sang, Oh Man Suk, Kim Young Min, Jeon Gook Hwan, Jung Ae Ri, Nam Kyung Eup, Bang Eun Jin, Choi Dae Hoon, Hwang Woo Seul Hye, Park Hyung Soo, Yoon Ji Min, Jang Hye Jin, Park Myung Hoon, Go Gyu Pil, Im Chul Soo, Kim Young Pil, Kim Jung Nan, Kim Sun Young, Cha Chung Hwa, Jang So Yeon, Hong Woo Jin, Yoon Sang Hoon, Ham Jin Sung",368,"Counter({'': 230, 'usa': 12, 'india': 5, 'australia': 5, 'philippines': 4, 'united states': 4, 'france': 3, 'the netherlands': 3, 'uk': 2, 'brasil': 2, 'earth': 2, 'italy': 2, 'indonesia': 2, 'brazil': 2, 'germany': 2, 'ipoh mali': 1, 'singapore': 1, 'in sad reality': 1, '...atop the highest tree in laurelindórenan...': 1, 'ph': 1, 'buenos aires': 1, 'i should be studying yet im reviewing dramas': 1, 'california': 1, 'texas usa': 1, 'gorakhpur, uttar pradesh, india': 1, 'nyc!': 1, 'yeeeeet': 1, 'czech republic': 1, 'colorado': 1, 'at the end of the block': 1, 'htx!': 1, 'world of pan': 1, 'bangladesh': 1, 'turkey': 1, 'from': 1, 'canada': 1, 'middle earth <3': 1, 'montreal': 1, 'portugal': 1, 'trying to get back into dramas': 1, 'id': 1, 'planet pluto': 1, 'malaysia': 1, 'exo planet': 1, 'england': 1, 'aurora colorado': 1, 'bratislava, slovakia': 1, 'miles away': 1, '☁️': 1, 'minnesota, united states': 1, 'over the rainbow': 1, 'united states, minnesota': 1, 'malaysia ❤': 1, 'albuquerque, new mexico, usa': 1, 'kent, uk': 1, 'ireland': 1, 'scotland': 1, 'dki jakarta, indonesia ☂': 1, 'manila, philippines': 1, 'jakarta-limaperu': 1, 'romania': 1, 'hengdian world studios': 1, 'in a small, cold, dark room with my laptop and a bag of chips watching netflix': 1, 'probably in my bed watching dramas': 1, 'aut': 1, ""satan's clutches"": 1, '(she/her, lesbian)   ♡': 1, 'serbia': 1, 'canberra, australia': 1, 'johnson city, tn': 1, 'paris': 1, 'europe': 1, 'atlantis': 1, 'where the lost ones go.': 1, 'cloud drama': 1, 'nyc': 1, 'i wish it was in korea': 1, 'dramaworld': 1, 'newcastle upon tyne, united kingdom': 1, 'sweden': 1, 'new york': 1, '神隠し': 1, 'toronto, canada': 1, 'anime&drama obsession': 1, 'us': 1, 'poland': 1, 'kaohsiung': 1, 'tamilnadu, india.': 1, 'texas': 1, 'ciamis': 1, 'somewhere in south korea.': 1, 'always here in dramaland': 1, 'russia/italy': 1, 'san jose, ca': 1, ""in your mothers dm's"": 1, 'united kingdom': 1, 'manila': 1, 'buffalo, ny': 1, 'lisbon @ portugal': 1, 'nowhere and everywhere': 1, 'saudi arabia': 1, 'new jersey, usa': 1, 'on top of the moon': 1})","Counter({'female': 261, '': 71, 'male': 36})"
